user_id,department,application,access_level,account_created,last_login,days_since_login,manager_approved,employment_status
U1001,IT Operations,Payments-Core,Read-Only,2025-03-28,2026-09-07,14,Yes,Active
U1002,Risk & Compliance,Payments-Core,Standard User,2025-01-06,2026-09-16,5,Yes,Active
U1003,Risk & Compliance,CRM-Salesforce,Standard User,2025-01-04,2026-08-26,26,Yes,Active
U1004,Finance,CRM-Salesforce,Standard User,2025-01-09,2026-09-12,9,No,Active
U1005,Finance,GL-SAP,Read-Only,2024-11-20,2025-08-17,400,Yes,Active
U1006,Risk & Compliance,Payments-Core,Super Admin,2024-10-21,2026-08-17,35,Yes,Active
U1007,HR,Trade-Finance-App,Read-Only,2024-12-27,2026-08-10,42,Yes,Terminated
U1008,Engineering,Payments-Core,Read-Only,2024-08-09,2026-07-30,53,Yes,Active
U1009,IT Operations,HR-Workday,Standard User,2023-12-03,2026-09-17,4,Yes,Active
U1010,Engineering,CRM-Salesforce,Standard User,2023-11-01,2026-07-24,59,Yes,Active
U1011,HR,Payments-Core,Read-Only,2024-07-03,2026-09-01,20,Yes,Active
U1012,Risk & Compliance,Data-Warehouse,Read-Only,2023-10-29,2026-08-27,25,Yes,Active
U1013,Engineering,Data-Warehouse,Standard User,2024-06-05,2026-08-15,37,No,Active
U1014,Engineering,CRM-Salesforce,Standard User,2025-04-27,2026-09-18,3,Yes,Active
U1015,IT Operations,GL-SAP,Standard User,2024-04-25,2026-08-14,38,Yes,Terminated
U1016,Finance,Data-Warehouse,Standard User,2023-07-11,2026-08-18,34,Yes,Active
U1017,Finance,HR-Workday,Standard User,2023-08-12,2026-08-06,46,Yes,Active
U1018,Engineering,Trade-Finance-App,Privileged Admin,2023-11-02,2026-01-21,243,Yes,Active
U1019,HR,CRM-Salesforce,Standard User,2025-08-17,2026-08-19,33,Yes,Active
U1020,Finance,HR-Workday,Privileged Admin,2024-12-15,2026-01-16,248,Yes,Active
U1021,Finance,Payments-Core,Standard User,2023-06-25,2025-09-23,363,Yes,Active
U1022,Risk & Compliance,CRM-Salesforce,Read-Only,2025-01-13,2025-11-18,307,No,Active
U1023,IT Operations,CRM-Salesforce,Standard User,2023-10-22,2026-08-10,42,Yes,Active
U1024,Sales,Payments-Core,Read-Only,2023-12-24,2026-09-20,1,Yes,Active
U1025,Finance,Payments-Core,Standard User,2025-07-16,2026-09-17,4,Yes,Active
U1026,Engineering,HR-Workday,Standard User,2023-08-08,2026-09-13,8,No,Active
U1027,Sales,CRM-Salesforce,Privileged Admin,2025-05-13,2026-03-17,188,Yes,Active
U1028,Sales,GL-SAP,Standard User,2023-10-18,2026-08-09,43,No,Active
U1029,Sales,Data-Warehouse,Read-Only,2025-02-02,2026-02-15,218,Yes,Active
U1030,Sales,CRM-Salesforce,Read-Only,2025-06-01,2026-07-24,59,Yes,Active
U1031,Risk & Compliance,Payments-Core,Read-Only,2025-05-14,2026-06-15,98,No,Active
U1032,Engineering,GL-SAP,Standard User,2025-06-18,2026-08-27,25,Yes,Active
U1033,Sales,HR-Workday,Privileged Admin,2024-06-10,2026-01-27,237,Yes,Active
U1034,Risk & Compliance,Data-Warehouse,Standard User,2025-01-07,2026-09-03,18,No,Active
U1035,Risk & Compliance,Payments-Core,Standard User,2024-04-16,2026-08-15,37,Yes,Active
U1036,Engineering,Payments-Core,Super Admin,2025-06-08,2026-09-10,11,Yes,Active
U1037,Engineering,GL-SAP,Read-Only,2024-01-03,2026-02-16,217,Yes,Active
U1038,Sales,Data-Warehouse,Standard User,2024-11-23,2026-07-24,59,Yes,Active
U1039,Engineering,HR-Workday,Read-Only,2024-05-06,2026-09-02,19,Yes,Active
U1040,Finance,Payments-Core,Standard User,2025-06-03,2026-05-02,142,Yes,Active
U1041,Engineering,HR-Workday,Privileged Admin,2024-10-30,2025-12-15,280,Yes,Active
U1042,IT Operations,HR-Workday,Standard User,2025-08-09,2025-09-25,361,Yes,Active
U1043,IT Operations,Payments-Core,Super Admin,2025-04-30,2026-09-14,7,Yes,Active
U1044,HR,Trade-Finance-App,Read-Only,2023-11-07,2026-08-09,43,Yes,Active
U1045,HR,Payments-Core,Read-Only,2025-07-03,2026-09-04,17,Yes,Active
