user_id,department,application,access_level,account_created,last_login,days_since_login,manager_approved,employment_status,violation_type,recommended_action
U1005,Finance,GL-SAP,Read-Only,2024-11-20,2025-08-17,400,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1018,Engineering,Trade-Finance-App,Privileged Admin,2023-11-02,2026-01-21,243,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1020,Finance,HR-Workday,Privileged Admin,2024-12-15,2026-01-16,248,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1021,Finance,Payments-Core,Standard User,2023-06-25,2025-09-23,363,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1022,Risk & Compliance,CRM-Salesforce,Read-Only,2025-01-13,2025-11-18,307,No,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1027,Sales,CRM-Salesforce,Privileged Admin,2025-05-13,2026-03-17,188,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1029,Sales,Data-Warehouse,Read-Only,2025-02-02,2026-02-15,218,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1031,Risk & Compliance,Payments-Core,Read-Only,2025-05-14,2026-06-15,98,No,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1033,Sales,HR-Workday,Privileged Admin,2024-06-10,2026-01-27,237,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1037,Engineering,GL-SAP,Read-Only,2024-01-03,2026-02-16,217,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1040,Finance,Payments-Core,Standard User,2025-06-03,2026-05-02,142,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1041,Engineering,HR-Workday,Privileged Admin,2024-10-30,2025-12-15,280,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1042,IT Operations,HR-Workday,Standard User,2025-08-09,2025-09-25,361,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
U1047,IT Operations,CRM-Salesforce,Standard User,2024-01-30,2025-08-28,389,Yes,Active,Dormant Account,Confirm with manager whether access is still required; disable if unused for 90+ days.
